Age,Experience,Education,City,Department,WorkType,PerformanceScore,ProjectsCompleted,Overtime,Gender,Salary,Promoted
28,5,High School,Mumbai,HR,Government,70.0,2,No,Male,24376.0,No
35,14,,Hyderabad,HR,Startup,54.0,7,No,Female,64412.0,No
31,8,Bachelor,Bangalore,HR,Government,,2,No,Male,56763.0,No
59,38,Diploma,Pune,Sales,Private,69.0,12,Yes,Female,124850.0,No
25,3,High School,Bangalore,IT,Government,79.0,14,No,Male,45530.0,No
38,12,Master,Pune,IT,Government,,7,Yes,Female,87233.0,No
56,33,Diploma,Delhi,HR,Private,76.0,2,Yes,Female,96967.0,No
46,20,Master,,HR,Self-Employed,60.0,4,Yes,Female,107955.0,No
58,36,Bachelor,Mumbai,Marketing,Startup,75.0,3,Yes,Male,,No
45,21,Bachelor,Hyderabad,Finance,Private,74.0,3,No,Female,78455.0,No
31,5,Bachelor,Pune,Finance,Government,66.0,9,Yes,Male,59052.0,No
55,30,PhD,Delhi,Marketing,Self-Employed,71.0,15,Yes,Male,155894.0,No
40,18,Diploma,Hyderabad,IT,Private,69.0,4,Yes,Female,77415.0,No
54,30,Master,Mumbai,Marketing,Government,50.0,9,No,Female,131155.0,No
49,27,High School,Delhi,Finance,Private,64.0,7,Yes,Male,79729.0,No
23,2,Master,Hyderabad,HR,Self-Employed,67.0,15,Yes,Male,81111.0,No
36,12,,Mumbai,IT,Private,65.0,13,No,Male,85224.0,No
42,21,Master,Mumbai,HR,Government,62.0,14,Yes,Female,109012.0,No
36,15,Master,Chennai,Marketing,Private,100.0,0,Yes,Male,78449.0,No
51,27,Diploma,Delhi,,Startup,,0,No,Female,,No
56,32,Bachelor,Mumbai,HR,Self-Employed,72.0,1,No,Male,98243.0,No
53,28,PhD,Mumbai,IT,Private,76.0,5,Yes,Male,135307.0,No
57,32,Diploma,Delhi,Marketing,Private,58.0,10,No,Male,107695.0,No
46,20,High School,Bangalore,Sales,Self-Employed,79.0,2,Yes,Female,74848.0,No
25,0,Bachelor,Bangalore,HR,Self-Employed,90.0,11,No,Male,52558.0,No
40,14,Bachelor,Hyderabad,IT,Self-Employed,55.0,3,Yes,Female,63182.0,No
56,33,High School,,HR,Self-Employed,76.0,8,No,Female,93864.0,No
48,27,Master,Delhi,Finance,Government,88.0,8,Yes,Female,127077.0,Yes
56,35,High School,Pune,HR,Private,80.0,4,No,Male,93170.0,No
23,1,Master,Pune,HR,Private,58.0,11,No,Male,63157.0,No
32,11,Master,,Operations,Self-Employed,,7,No,Male,76142.0,No
23,1,Master,Mumbai,Sales,Self-Employed,59.0,9,Yes,Male,53775.0,No
46,25,Diploma,,Finance,Startup,62.0,10,Yes,Male,90559.0,No
37,12,,Chennai,Finance,Self-Employed,51.0,13,Yes,Female,,No
23,2,Master,,Marketing,Government,68.0,10,No,Male,66240.0,No
47,21,Diploma,Bangalore,Marketing,Government,75.0,6,No,Female,74102.0,No
40,19,Bachelor,Bangalore,Finance,Government,57.0,10,No,Female,93288.0,No
53,27,Bachelor,Mumbai,Operations,Private,78.0,9,No,Male,102896.0,No
35,13,Master,Delhi,IT,Government,88.0,2,No,Female,89863.0,No
45,23,Bachelor,Mumbai,Operations,Private,70.0,3,No,Male,84963.0,No
54,29,Bachelor,Mumbai,IT,Startup,80.0,10,No,Female,118752.0,No
31,7,Master,Chennai,Finance,Government,81.0,8,No,Male,73998.0,Yes
39,16,Diploma,Bangalore,Marketing,Private,,4,Yes,Male,,No
55,34,Bachelor,Mumbai,Sales,Startup,78.0,0,No,Female,99993.0,No
40,16,Master,Hyderabad,Operations,Government,62.0,15,Yes,Female,104214.0,No
46,22,Master,Mumbai,Marketing,Private,,12,Yes,Male,116844.0,No
50,27,High School,Chennai,Finance,Government,61.0,12,No,Female,92066.0,No
51,26,,Delhi,,Government,75.0,2,Yes,Male,77702.0,No
22,0,Bachelor,Mumbai,Sales,Private,64.0,8,No,Male,54453.0,No
28,6,Master,Bangalore,,Private,68.0,9,No,Female,70498.0,No
36,13,High School,Pune,Marketing,Private,76.0,1,No,Female,51942.0,No
42,18,High School,,,Startup,57.0,11,No,Male,77070.0,No
54,31,PhD,Hyderabad,Marketing,Startup,50.0,8,No,Male,140639.0,No
49,25,Diploma,Hyderabad,Marketing,Startup,76.0,10,Yes,Female,92650.0,No
34,11,Bachelor,Bangalore,Finance,Self-Employed,58.0,6,Yes,Male,69717.0,No
36,10,Bachelor,Pune,Sales,Startup,67.0,0,Yes,Female,54261.0,No
36,11,Diploma,Bangalore,,Self-Employed,54.0,10,No,Female,60077.0,No
35,13,,Bangalore,IT,Government,80.0,6,Yes,Female,54860.0,No
54,33,Bachelor,Mumbai,Finance,Government,65.0,4,No,Male,104186.0,No
29,5,Bachelor,Delhi,IT,Self-Employed,79.0,15,No,Female,65164.0,No
24,0,Diploma,Delhi,IT,Startup,56.0,1,Yes,Male,34643.0,No
26,5,PhD,Hyderabad,Sales,Government,72.0,12,No,Female,,No
48,23,Diploma,Delhi,Marketing,Private,79.0,6,No,Male,77946.0,No
56,35,High School,Chennai,Sales,Startup,69.0,9,Yes,Male,107240.0,No
50,28,High School,Bangalore,Operations,Government,58.0,4,No,Male,78739.0,No
40,15,Bachelor,Bangalore,Sales,Private,78.0,14,No,Female,83720.0,No
52,27,Bachelor,Delhi,Sales,Self-Employed,69.0,7,Yes,Female,111682.0,No
32,6,Bachelor,Chennai,Finance,Government,70.0,13,No,Male,69201.0,No
42,21,Diploma,Mumbai,Finance,Startup,,12,Yes,Female,78485.0,No
41,17,High School,Hyderabad,IT,Startup,62.0,13,Yes,Male,79988.0,No
52,31,Bachelor,Mumbai,Finance,Government,83.0,15,Yes,Male,,Yes
31,10,Diploma,Hyderabad,Sales,Private,66.0,7,Yes,Female,49249.0,No
30,4,Bachelor,Bangalore,Marketing,Self-Employed,60.0,15,Yes,Female,69863.0,No
33,8,PhD,Pune,HR,Private,78.0,8,No,Female,103837.0,No
21,0,Diploma,Hyderabad,Marketing,Startup,80.0,15,No,Female,51085.0,No
45,22,Bachelor,Mumbai,Operations,Government,62.0,12,Yes,Female,,No
51,27,Master,Chennai,Operations,Government,68.0,10,Yes,Female,114667.0,No
